H2,H2O,O2,H2_melt,H2O_melt,O2_melt,H2_mass_atm,H2O_mass_atm,O2_mass_atm,H2_mass_melt,H2O_mass_melt,O2_mass_melt,H2_mass_tot,H2O_mass_tot,O2_mass_tot,H2_fugacity,Total_Pressure
5400.000000000001,1000.000000000001,1.2430471030088993e-13,1140.5916764099472,30515.979420624888,0.0,6.763478654214333e+22,1.1193153048865355e+23,24713409.776156932,4.1420586728827235e+22,1.1081877926599928e+24,0.0,1.0905537327097056e+23,1.2201193231486465e+24,24713409.776156932,5400,6400.000000000002
5499.999999999992,999.999999999999,1.1982563148343655e-13,1151.6142416189264,30515.979420624855,0.0,6.947902208070005e+22,1.128930186537027e+23,24027548.065712992,4.182087118439131e+22,1.1081877926599916e+24,0.0,1.1129989326509136e+23,1.2210808113136945e+24,24027548.065712992,5500,6499.999999999991
5599.999999999992,999.999999999999,1.1558435434865977e-13,1162.5418443725248,30515.979420624844,0.0,7.133648606400002e+22,1.1384127837400891e+23,23371762.14559689,4.221770707838823e+22,1.1081877926599912e+24,0.0,1.1355419314238825e+23,1.2220290710340002e+24,23371762.14559689,5600,6599.999999999991
5700.000000000001,1000.0,1.1156433833099288e-13,1173.3769770363301,30515.979420624873,0.0,7.320690735581959e+22,1.1477658078579586e+23,22744234.23851851,4.2611184921074324e+22,1.1081877926599923e+24,0.0,1.1581809227689391e+23,1.2229643734457882e+24,22744234.23851851,5700,6700.000000000001
5800.000000000001,999.999999999999,1.0775045637259115e-13,1184.1220241523145,30515.979420624844,0.0,7.509002217942883e+22,1.1569918966579274e+23,22143286.439317893,4.30013913070913e+22,1.1081877926599912e+24,0.0,1.1809141348652013e+23,1.223886982325784e+24,22143286.439317893,5800,6800.0
5900.000000000013,1000.000000000002,1.041288524094795e-13,1194.7792688752788,30515.979420624884,0.0,7.69855738695755e+22,1.1660936167925275e+23,21567367.698598184,4.338840914920575e+22,1.1081877926599927e+24,0.0,1.2037398301878126e+23,1.2247971543392455e+24,21567367.698598184,5900,6900.000000000015
5999.999999999997,1000.0,1.00686815343721e-13,1205.3508989228576,30515.979420624863,0.0,7.889331263442956e+22,1.1750734661800438e+23,21015042.22055616,4.3772317894383575e+22,1.1081877926599918e+24,0.0,1.2266563052881313e+23,1.2256951392779963e+24,21015042.22055616,6000,6999.999999999997
6100.000000000008,1000.000000000002,9.741266735753716e-14,1215.8390120833512,30515.97942062489,0.0,8.081299532702996e+22,1.1839338762901054e+23,20484979.100100297,4.415319372380691e+22,1.108187792659993e+24,0.0,1.2496618905083685e+23,1.2265811802890036e+24,20484979.100100297,6100,7100.00000000001
6200.000000000006,1000.000000000001,9.429566473397378e-14,1226.245621320895,30515.97942062488,0.0,8.274438522578649e+22,1.1926772143386014e+23,19975943.04851173,4.4531109738268305e+22,1.1081877926599926e+24,0.0,1.2727549496405479e+23,1.2274555140938528e+24,19975943.04851173,6200,7200.000000000007
6300.0,1000.0,9.132590960881753e-14,1236.5726595134404,30515.979420624863,0.0,8.46872518236295e+22,1.2013057853962311e+23,19486786.077400904,4.490613613023059e+22,1.1081877926599918e+24,0.0,1.2959338795386009e+23,1.228318371199615e+24,19486786.077400904,6300,7300.0
6399.999999999998,1000.0,8.849427129819223e-14,1246.8219838553139,30515.979420624863,0.0,8.664137062540621e+22,1.2098218344145257e+23,19016440.0281274,4.5278340343705725e+22,1.1081877926599918e+24,0.0,1.3191971096911193e+23,1.2291699761014442e+24,19016440.0281274,6400,7399.999999999998
6500.000000000002,1000.0,8.57923160325197e-14,1256.995379952979,30515.97942062486,0.0,8.860652295315217e+22,1.218227548173129e+23,18563909.848712124,4.564778722299243e+22,1.1081877926599918e+24,0.0,1.342543101761446e+23,1.2300105474773048e+24,18563909.848712124,6500,7500.000000000002
6600.0000000000155,1000.000000000002,8.32122440857204e-14,1267.0945656397407,30515.97942062489,0.0,9.058249575888312e+22,1.2265250571518855e+23,18128267.532964043,4.601453915120719e+22,1.108187792659993e+24,0.0,1.365970349100903e+23,1.2308402983751814e+24,18128267.532964043,6600,7600.000000000017
6700.0,1000.0,8.074683342334489e-14,1277.121194532638,30515.97942062487,0.0,9.256908144456966e+22,1.2347164373310771e+23,17708646.64743372,4.637865617945274e+22,1.108187792659992e+24,0.0,1.389477376240224e+23,1.2316594363930996e+24,17708646.64743372,6700,7700.0
6800.000000000012,1000.000000000002,7.838938910843391e-14,1287.076859352542,30515.979420624884,0.0,9.456607768897811e+22,1.2428037119230588e+23,17304237.381156817,4.674019614738756e+22,1.1081877926599927e+24,0.0,1.4130627383636567e+23,1.2324681638522987e+24,17304237.381156817,6800,7800.000000000014
6900.0000000000055,1000.000000000001,7.613369780243581e-14,1296.9630950264202,30515.979420624888,0.0,9.65732872810674e+22,1.2507888530382258e+23,16914282.061201144,4.709921479588444e+22,1.1081877926599928e+24,0.0,1.4367250207695184e+23,1.2332666779638154e+24,16914282.061201144,6900,7900.000000000006
