,H2O,H2,O2,CO,CO2,CH4,N2,S2,H2S,SO2,SO,fO2_shift,C/H ratio,Number of ocean moles
2069,3.443712914,0.202787935,1.02809E-09,32.41015729,213.1996358,3.32896E-07,1.484422191,0.026270363,0.121066062,0.101236092,0.001106029,2.604792624,0.618459645,4.320358957
2070,8.268164405,0.352055948,1.96633E-09,14.73275567,134.029963,3.29791E-07,1.469132151,0.050121257,0.290315304,0.267447471,0.002112793,2.889773846,0.247304825,6.674468983
2071,1.703576958,142.3885264,5.10312E-16,10.07232758,0.046680672,72.3971524,7.51917E-05,1.30369E-08,0.059883871,3.53992E-11,5.48938E-10,-3.698511691,0.436857611,8.751301612
2072,10.32953913,1.643411495,1.40842E-10,31.83467453,77.50960664,5.80212E-05,1.319466037,0.003595856,0.362990076,0.005131013,0.000151455,1.746184887,0.16654861,7.63776892
2073,5.989310231,66.10513465,2.92648E-14,390.8768376,13.71835524,79.96448106,0.030415286,7.4739E-07,0.210501976,1.53706E-08,3.14749E-08,-1.952110301,0.883231211,8.518807859
2074,0.173285274,0.097644845,1.12276E-11,8.949260841,6.152052026,2.0394E-07,1.140371903,0.000287366,0.006096978,0.000115631,1.20887E-05,0.65164493,0.176502703,1.020816273
2075,5.830339233,0.167626411,4.31285E-09,18.04128243,243.0744311,6.182E-08,1.516065919,0.109476839,0.204291753,0.866955016,0.004624461,3.226835491,0.507083317,5.577834128
2076,4.651902819,21.19892737,1.7167E-13,372.2742883,31.64464899,3.233720522,0.258093755,4.38761E-06,0.163559351,2.18464E-07,1.84705E-07,-1.179232808,0.865856383,6.263171413
2077,0.751436777,0.794510994,3.18894E-12,87.15392607,31.93007844,0.00024673,0.975257245,8.16072E-05,0.026436947,1.75018E-05,3.43325E-06,0.101151185,0.65485327,2.199401211
2078,0.044642607,4.584428569,3.38058E-16,45.08411495,0.170062429,0.412722407,4.0559E-05,8.65277E-09,0.001570761,1.91046E-11,3.63991E-10,-3.870889621,0.605803213,1.078416733
2079,0.113176849,2.155566856,9.82775E-15,67.40740226,1.370958109,0.025302469,0.006279012,2.51542E-07,0.003982113,2.99454E-09,1.05816E-08,-2.408188211,0.790101494,1.161997595
