,H_mass,C_mass,S_mass,N_mass,Cl_mass,O2_fugacity
142,1.199668062297288e+21,1.1904755789895626e+21,1.194e+21,4.955e+18,1.04e+20,2.3687699003128927e-13
143,9.993730688447705e+20,9.422532213239855e+20,1.194e+21,4.955e+18,1.04e+20,6.127588177642359e-15
144,6.858019236578352e+20,4.363171299167367e+20,1.194e+21,4.955e+18,1.04e+20,1.0016347806873724e-15
145,1.2108283507337339e+21,3.74426164650579e+20,1.194e+21,4.955e+18,1.04e+20,5.892968245927616e-16
146,3.719211820105787e+20,2.102433349276754e+20,1.194e+21,4.955e+18,1.04e+20,1.588765449474784e-08
147,2.2887227835323236e+20,2.4359823317050618e+19,1.194e+21,4.955e+18,1.04e+20,3.090472576992488e-10
148,7.49267035194738e+20,5.013066205671238e+20,1.194e+21,4.955e+18,1.04e+20,3.4515290258493347e-09
149,9.597313972793942e+20,5.562142098573683e+20,1.194e+21,4.955e+18,1.04e+20,5.296321470192448e-10
150,1.5435110119047367e+21,1.2148849662481007e+21,1.194e+21,4.955e+18,1.04e+20,1.1142487238262648e-09
151,1.4751372113022736e+21,8.637279920168373e+20,1.194e+21,4.955e+18,1.04e+20,7.004783594014973e-10
152,4.125633901254676e+20,8.123822519494458e+19,1.194e+21,4.955e+18,1.04e+20,2.0937448538992576e-08
